Step,AgentID,ID,Type,Zone,CurrentZone,SES,ThreatScore,CopingScore,Action,Influenced,EarlyEvacuated,SocialNetwork,Longitude,Latitude
0,1,1,agent,Heugem,Heugem,medium,5.0,4.0,mitigate,False,False,3,635176.091350475,6590790.979470995
0,2,2,agent,Heugem,Heugem,medium,5.0,4.0,mitigate,False,False,3,634921.9488031596,6590816.187102462
0,3,3,agent,Heugemerveld,Heugemerveld,low,1.0,5.0,do_nothing,False,False,4,635020.1830438565,6593632.458044243
0,4,4,agent,Randwyck,Randwyck,medium,3.75,3.5,mitigate,False,False,3,635284.4627292048,6592305.760584425
0,5,5,agent,Randwyck,Randwyck,low,2.25,5.0,do_nothing,False,False,2,635613.7544726627,6592276.948082354
0,6,6,agent,Randwyck,SafeZone,medium,2.75,1.5,evacuate,False,True,3,636916.1506640193,6592417.462331428
0,7,7,agent,Heugemerveld,Heugemerveld,low,5.0,5.0,mitigate,False,False,4,635399.8030373805,6593880.492566072
0,8,8,agent,Heugem,Heugem,medium,2.25,3.0,do_nothing,False,False,3,635376.0833777208,6591032.149922391
0,9,9,agent,Heugem,Heugem,medium,4.0,3.5,mitigate,False,False,3,634832.9771294165,6591288.645077685
0,10,10,agent,Heugemerveld,Heugemerveld,low,5.0,5.0,mitigate,False,False,4,635294.6387820662,6593174.803105734
0,11,11,agent,Randwyck,SafeZone,medium,4.0,1.0,evacuate,False,True,3,637305.082962042,6591790.417354947
0,12,12,agent,Heugemerveld,Heugemerveld,low,1.0,5.0,do_nothing,False,False,4,634931.1393292375,6593506.696184552
0,13,13,agent,Randwyck,Randwyck,medium,3.75,3.5,mitigate,False,False,3,635137.3246003398,6592251.941706592
0,14,14,agent,Randwyck,Randwyck,low,2.25,5.0,do_nothing,False,False,2,635540.5203724857,6592017.326164299
0,15,15,agent,Randwyck,SafeZone,medium,2.75,1.5,evacuate,False,True,3,637015.037524122,6592082.240576885
0,16,16,agent,Heugemerveld,Heugemerveld,low,5.0,5.0,mitigate,False,False,4,635490.1502396492,6593494.927619863
0,17,17,agent,Heugem,Heugem,medium,2.25,3.0,do_nothing,False,False,3,634815.4319737672,6591102.454950484
