step,zone,flood_level
0,Heugem,0.1
0,Heugemerveld,0.1
0,Randwyck,0.1
1,Heugem,0.15
1,Heugemerveld,0.15
1,Randwyck,0.15
2,Heugem,0.2
2,Heugemerveld,0.2
2,Randwyck,0.2
3,Heugem,0.25
3,Heugemerveld,0.25
3,Randwyck,0.25
4,Heugem,0.3
4,Heugemerveld,0.3
4,Randwyck,0.3
5,Heugem,0.35
5,Heugemerveld,0.35
5,Randwyck,0.35
6,Heugem,0.3
6,Heugemerveld,0.3
6,Randwyck,0.3
7,Heugem,0.25
7,Heugemerveld,0.25
7,Randwyck,0.25
8,Heugem,0.2
8,Heugemerveld,0.2
8,Randwyck,0.2
9,Heugem,0.15
9,Heugemerveld,0.15
9,Randwyck,0.15
10,Heugem,0.1
10,Heugemerveld,0.1
10,Randwyck,0.1
