step,zone,flood_level
0,Heugem,0.1
0,Heugemerveld,0.0
0,Randwyck,0.0
1,Heugem,0.2
1,Heugemerveld,0.0
1,Randwyck,0.0
2,Heugem,0.3
2,Heugemerveld,0.0
2,Randwyck,0.0
3,Heugem,0.4
3,Heugemerveld,0.0
3,Randwyck,0.0
4,Heugem,0.5
4,Heugemerveld,0.0
4,Randwyck,0.0
5,Heugem,0.6
5,Heugemerveld,0.0
5,Randwyck,0.0
6,Heugem,0.7
6,Heugemerveld,0.0
6,Randwyck,0.0
7,Heugem,0.8
7,Heugemerveld,0.0
7,Randwyck,0.0
8,Heugem,0.9
8,Heugemerveld,0.0
8,Randwyck,0.0
9,Heugem,1.0
9,Heugemerveld,0.0
9,Randwyck,0.0
10,Heugem,0.95
10,Heugemerveld,0.0
10,Randwyck,0.0
