step,zone,flood_level
0,Randwyck,0.0
0,Heugemerveld,0.0
0,Heugem,0.0
1,Randwyck,0.2
1,Heugemerveld,0.2
1,Heugem,0.2
2,Randwyck,0.4
2,Heugemerveld,0.4
2,Heugem,0.4
3,Randwyck,0.6
3,Heugemerveld,0.6
3,Heugem,0.6
4,Randwyck,0.8
4,Heugemerveld,0.8
4,Heugem,0.8
5,Randwyck,1.0
5,Heugemerveld,1.0
5,Heugem,1.0
6,Randwyck,1.2
6,Heugemerveld,1.2
6,Heugem,1.2
7,Randwyck,1.4
7,Heugemerveld,1.4
7,Heugem,1.4
8,Randwyck,1.6
8,Heugemerveld,1.6
8,Heugem,1.6
9,Randwyck,1.8
9,Heugemerveld,1.8
9,Heugem,1.8
10,Randwyck,2.0
10,Heugemerveld,2.0
10,Heugem,2.0
11,Randwyck,2.2
11,Heugemerveld,2.2
11,Heugem,2.2
12,Randwyck,2.4
12,Heugemerveld,2.4
12,Heugem,2.4
13,Randwyck,2.6
13,Heugemerveld,2.6
13,Heugem,2.6
14,Randwyck,2.8
14,Heugemerveld,2.8
14,Heugem,2.8
15,Randwyck,3.0
15,Heugemerveld,3.0
15,Heugem,3.0
16,Randwyck,3.2
16,Heugemerveld,3.2
16,Heugem,3.2
17,Randwyck,3.4
17,Heugemerveld,3.4
17,Heugem,3.4
18,Randwyck,3.6
18,Heugemerveld,3.6
18,Heugem,3.6
19,Randwyck,3.8
19,Heugemerveld,3.8
19,Heugem,3.8
20,Randwyck,4.0
20,Heugemerveld,4.0
20,Heugem,4.0
